Eggs,Cake,Butter,,
Tomatoes,Water,Chips,Cereal,Tooth Paste
Milk,Pumpkins,Oranges,,
Blueberries,Plates,Almonds,,
Crabs,Soda,Batteries,Jelly,Apples
Grapes,Cookies,Rice,,
Potatoes,Cups,Chicken,,
Tissue Paper,Cheese,,,
Bread,Juice,Peanuts,,
Butter,Tooth Paste,Chips,,
Tomatoes,Cereal,,,
Oranges,Pumpkins,Apples,,
Milk,Water,Soda,,
Blueberries,Plates,Batteries,Crabs,
Grapes,Rice,Cookies,Jelly,
Cups,Almonds,,,
Eggs,Bread,Cheese,Chicken,
Butter,Potatoes,Juice,,
Tissue Paper,Peanuts,,,
Cake,,,,